source_pdf,page,table_index,fee_name,fee_24_25,fee_25_26,gst_25_26,unit_25_26
Bayside NSW - Fees & Charges 2025-26.pdf,26,0,Per half hour (minimum charge),$197.50,$205.50,N,Per Half Hour
Bayside NSW - Fees & Charges 2025-26.pdf,26,0,Per hour,$393.00,$409.00,N,Per Hour
Bayside NSW - Fees & Charges 2025-26.pdf,26,0,"Hair, skin, beauty salons",$197.50,$205.50,N,Per Inspection
Bayside NSW - Fees & Charges 2025-26.pdf,26,0,Places of shared accommodation (boarding house),$197.50,$205.50,N,Per Inspection
Bayside NSW - Fees & Charges 2025-26.pdf,26,0,Mortuaries,$269.50,$280.50,N,Per Inspection
Bayside NSW - Fees & Charges 2025-26.pdf,26,0,Noxious trades,$269.50,$280.50,N,Per Inspection
Bayside NSW - Fees & Charges 2025-26.pdf,26,0,Septic systems,$270.00,$281.00,N,Per Inspection
Bayside NSW - Fees & Charges 2025-26.pdf,26,0,Grey water systems,$270.00,$281.00,N,Per Inspection
Bayside NSW - Fees & Charges 2025-26.pdf,26,0,Collection & analysis of water samples by NATA approved laboratory,Cost of service (Invoice + 10%),,N,Per Service
Bayside NSW - Fees & Charges 2025-26.pdf,26,0,Water quality report by environmental consultant,Cost of service (Invoice + 10%),,N,Per Service
Bayside NSW - Fees & Charges 2025-26.pdf,26,0,Regulated system (such as a water cooling system or warm water system),$560.00,$560.00,N,Per Inspection
Bayside NSW - Fees & Charges 2025-26.pdf,92,0,Inspections (1-3 trees),$115.50,$120.50,N,Per Inspection
Bayside NSW - Fees & Charges 2025-26.pdf,92,0,Inspections (4-10 trees),$234.50,$244.00,N,Per Inspection
Bayside NSW - Fees & Charges 2025-26.pdf,92,0,Review of TMO determination,$266.00,$277.00,N,Per Inspection
Bayside NSW - Fees & Charges 2025-26.pdf,92,0,1100L Commercial Waste Bin,$57.50,$59.80,N,Per Lift
Bayside NSW - Fees & Charges 2025-26.pdf,92,0,1100L Commercial Recycling Bin,$32.50,$33.80,N,Per Lift
Bayside NSW - Fees & Charges 2025-26.pdf,92,0,660L Commercial Waste Bin,$37.50,$39.00,N,Per Lift
Bayside NSW - Fees & Charges 2025-26.pdf,92,0,660L Commercial Recycling Bin,$21.00,$21.85,N,Per Lift
Bayside NSW - Fees & Charges 2025-26.pdf,92,0,240L Commercial Waste Bin,$15.80,$16.45,N,Per Lift
Bayside NSW - Fees & Charges 2025-26.pdf,92,0,240L Commercial Recycling Bin,$8.90,$9.30,N,Per Lift
Bayside NSW - Fees & Charges 2025-26.pdf,92,0,1100L Commercial Waste Bin,$61.00,$63.45,N,Per Lift
Bayside NSW - Fees & Charges 2025-26.pdf,92,0,1100L Commercial Recycling Bin,$36.00,$37.45,N,Per Lift
Bayside NSW - Fees & Charges 2025-26.pdf,92,0,660L Commercial Waste Bin,$40.00,$41.60,N,Per Lift
Bayside NSW - Fees & Charges 2025-26.pdf,92,0,660L Commercial Recycling Bin,$24.00,$25.00,N,Per Lift
Bayside NSW - Fees & Charges 2025-26.pdf,92,0,240L Commercial Waste Bin,$16.80,$17.50,N,Per Lift
Bayside NSW - Fees & Charges 2025-26.pdf,92,0,240L Commercial Recycling Bin,$10.00,$10.40,N,Per Lift
Bayside NSW - Fees & Charges 2025-26.pdf,94,0,Per Recycling Bin 240L,$8.90,$9.30,Y,Per Mobile Bin
Bayside NSW - Fees & Charges 2025-26.pdf,94,0,Per General Waste Bin 240L,$15.80,$16.45,Y,Per Mobile Bin
Bayside NSW - Fees & Charges 2025-26.pdf,94,0,Per General Waste Bin 660L,$37.50,$39.00,Y,Per Mobile Bin
Bayside NSW - Fees & Charges 2025-26.pdf,94,0,"Per General Waste Bin 1,100L",$57.50,$59.80,Y,Per Mobile Bin
